SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1666.00,1686.00,1640.00,1659.40,1650.00,1662.35,1106,13244,22040930.00,
500003,AEGIS LOGIS ,A ,Q,281.30,282.70,278.00,278.65,278.65,280.70,717,17297,4826263.00,
500008,AMAR RAJA BA,A ,Q,882.00,892.00,836.70,840.90,840.90,875.95,3126,99492,86038398.00,
500009,A.SARABHAI  ,XT,Q,11.00,11.15,10.61,10.90,10.75,10.62,121,69488,766541.00,
500010,HDFC        ,A ,Q,1907.95,1921.70,1875.45,1902.55,1902.55,1907.95,1903,478470,905663598.00,
500012,ANDHRA PETRO,X ,Q,76.70,77.90,72.75,76.65,76.65,74.80,1343,379038,28707459.00,
500013,ANSAL INFRAS,B ,Q,27.15,28.25,27.15,28.20,28.20,26.95,281,83318,2338826.00,
500014,APPLE FINANC,X ,Q,4.03,4.03,3.67,3.73,3.70,3.84,33,8829,33039.00,
500020,BOM DYEING  ,A ,Q,244.00,245.55,231.70,233.35,233.35,241.45,5089,579953,138764068.00,
500023,ASIANHOTNR  ,B ,Q,284.05,304.45,280.10,288.70,288.70,281.85,241,25367,7435422.00,
500024,ASSAMCO     ,T ,Q,5.28,5.28,5.00,5.07,5.05,5.05,121,123611,623342.00,
500027,ATUL LTD.   ,A ,Q,2860.00,2962.15,2830.15,2856.20,2856.20,2879.50,138,585,1669785.00,
500028,ATV PROJECTS,XT,Q,11.75,12.93,11.71,11.85,11.99,12.32,68,27708,330364.00,
500029,AUTOLITE(I) ,B ,Q,70.30,71.00,69.15,69.90,69.45,70.35,126,28129,1967401.00,
500031,BAJAJ ELECT.,A ,Q,530.00,532.00,509.15,511.65,511.65,529.80,690,26907,13940507.00,
500032,BAJAJHIND   ,A ,Q,14.20,14.30,14.00,14.05,14.05,14.15,723,902395,12749267.00,
500033,FORCE MOTR  ,B ,Q,3276.00,3299.15,3232.00,3244.85,3244.85,3285.60,3141,29172,94889977.00,
500034,BAJFINANCE  ,A ,Q,1742.00,1742.00,1705.10,1710.40,1712.95,1738.10,1871,55764,95743028.00,
500038,BALRAM.CHINI,A ,Q,120.60,124.90,120.20,122.20,122.20,121.60,1264,203768,24932196.00,
500039,BANCO PROD. ,B ,Q,244.75,250.00,243.00,244.05,243.05,245.05,461,20552,5037258.00,
500040,CENTURY TEXT,A ,Q,1426.00,1426.00,1389.00,1403.20,1403.20,1419.65,1276,39311,55204236.00,
500041,BANNARI AMAN,B ,Q,1925.00,1988.00,1912.00,1988.00,1988.00,1905.60,12,41,79692.00,
500042,BASF INDIA  ,B ,Q,2199.95,2200.50,2170.05,2179.05,2178.50,2202.80,144,581,1270985.00,
500043,BATA INDIA  ,A ,Q,730.00,730.00,703.50,706.60,706.60,724.60,785,26266,18717536.00,
500048,BEML LTD    ,A ,Q,1504.95,1513.00,1475.00,1481.80,1481.80,1506.20,993,20272,30267639.00,
500049,BHARAT ELECT,A ,Q,178.00,179.50,174.55,177.15,177.15,173.70,6059,3861096,682487325.00,
500052,BHANSALI ENG,B ,Q,181.95,189.75,177.25,183.75,183.75,182.55,1613,176452,32550853.00,
500055,BHUSH STEEL ,B ,Q,62.35,64.00,59.75,59.95,59.95,61.60,3186,786877,48362762.00,
500058,BIHAR SPONGE,XT,Q,2.43,2.67,2.43,2.55,2.55,2.55,23,10986,29009.00,
500059,BINANI IND. ,T ,Q,119.00,122.05,116.00,117.05,117.05,121.55,234,18261,2152008.00,
500060,BIRLACABLE  ,T ,Q,59.30,59.30,58.00,58.65,58.20,57.45,48,4132,240718.00,
500067,BLUE STAR   ,A ,Q,763.00,768.65,753.00,760.15,763.05,764.00,367,1803,1369591.00,
500068,DISA INDIA  ,X ,Q,6309.55,6309.55,6045.00,6091.80,6045.00,6239.00,13,29,179745.00,
500069,BNK CAPITAL ,X ,Q,135.00,136.80,127.40,130.05,128.40,135.60,29,1590,209306.00,
500074,BPL LTD.    ,B ,Q,102.35,111.95,100.20,110.40,110.40,102.20,3384,391634,41836835.00,
500078,CAMPH.& ALL ,X ,Q,1205.05,1283.90,1175.00,1215.90,1190.00,1203.25,104,3947,4741019.00,
500083,CENTURY EXT ,B ,Q,6.89,7.30,6.53,7.24,7.29,6.64,442,113976,810595.00,
500084,CESC LTD.   ,A ,Q,1082.50,1101.00,1066.90,1069.80,1069.80,1087.95,752,20177,21795683.00,
500085,CHAMBAL FERT,A ,Q,158.00,158.00,152.80,154.35,154.35,155.45,959,92867,14387218.00,
500086,EXIDE IND.  ,A ,Q,233.50,237.05,225.10,226.95,226.95,232.80,2744,261989,60679561.00,
500087,CIPLA LTD.  ,A ,Q,619.80,630.60,613.40,621.30,621.30,617.65,3081,583936,361001873.00,
500089,DIC INDIA   ,B ,Q,561.00,561.00,560.00,560.00,560.00,561.20,2,50,28015.00,
500092,CRISIL LTD  ,A ,Q,1968.05,1982.00,1957.00,1975.05,1974.00,1969.45,92,692,1363088.00,
500093,CGPOWER     ,A ,Q,93.85,95.30,91.50,92.15,92.15,94.30,740,131852,12323717.00,
500096,DABUR (I)   ,A ,Q,359.05,364.05,352.00,353.90,353.90,360.10,700,44673,16047126.00,
500097,DALMIASUG   ,B ,Q,102.65,107.55,100.85,105.80,105.80,101.80,580,39251,4136474.00,
500101,ARVIND Ltd  ,A ,Q,445.15,457.70,442.05,444.60,444.60,445.05,991,74835,33336476.00,
500102,BALARPUR IND,B ,Q,15.85,15.85,15.40,15.50,15.50,15.70,383,295757,4601260.00,
500103,BHEL        ,A ,Q,104.05,106.45,102.45,103.25,103.25,104.20,4939,1239611,129742042.00,
500104,HIND.PETRO  ,A ,Q,388.70,395.70,382.00,384.10,384.10,388.70,4549,229592,88919148.00,
500106,IFCI LTD    ,A ,Q,31.50,31.70,30.60,30.75,30.75,31.40,2235,1035303,32167062.00,
500108,MAHA.TELE   ,B ,Q,25.20,26.00,24.90,25.45,25.45,25.35,1212,601882,15360319.00,
500109,MRPL        ,A ,Q,131.00,132.30,126.65,128.20,127.00,130.65,784,118282,15354439.00,
500110,CHENNAI PET.,A ,Q,428.20,432.05,417.00,420.95,420.95,429.00,725,41207,17542408.00,
500111,REL.CAP.    ,A ,Q,510.50,519.00,504.15,505.40,505.40,513.05,7427,505765,258046612.00,
500112,STATE BANK  ,A ,Q,333.00,334.80,312.00,313.15,313.15,329.50,19114,2511198,799255230.00,
500113,STEEL AUTH. ,A ,Q,94.10,96.45,93.40,93.90,93.90,94.30,2671,1091734,103593288.00,
500114,TITAN       ,A ,Q,888.00,904.85,877.35,885.30,885.30,887.75,1657,74499,66450029.00,
500116,IDBI BANK L ,A ,Q,70.80,70.80,64.45,65.00,65.00,65.45,10432,3557658,237187459.00,
500117,DCW LTD.    ,T ,Q,41.05,42.35,41.00,41.40,41.40,41.45,199,54003,2242863.00,
500119,DHAMPUR SUGA,B ,Q,188.15,194.80,185.35,193.60,193.60,187.20,1184,102155,19544920.00,
500120,DIAMINES&CHM,X ,Q,115.00,116.25,109.00,115.70,115.70,114.35,421,45469,5176835.00,
500123,ELANTAS     ,B ,Q,2239.95,2239.95,2115.00,2124.60,2146.00,2135.20,86,550,1169021.00,
500124,DR.REDDY'S  ,A ,Q,2569.00,2594.95,2458.95,2504.00,2504.00,2561.85,7971,142150,358637238.00,
500125,E.I.D.PAR   ,A ,Q,344.50,350.40,341.00,342.35,342.50,343.40,728,21730,7486101.00,
500126,MERCK LTD   ,B ,Q,1480.15,1534.10,1480.15,1521.15,1521.15,1484.00,451,4093,6185017.00,
500128,ELEC.CASTING,B ,Q,34.95,35.50,34.80,34.95,34.90,34.35,241,51170,1791310.00,
500132,EMPEE SUGARS,X ,Q,4.75,4.75,4.35,4.74,4.74,4.53,40,3500,15832.00,
500133,ESAB INDIA  ,B ,Q,834.30,844.95,814.60,832.65,826.00,822.85,49,448,370432.00,
500135,ESSEL PROP  ,B ,Q,293.05,296.30,289.00,291.45,289.00,292.45,63,1906,559980.00,
500136,ESTER INDUS.,B ,Q,59.80,60.30,57.60,58.30,58.30,59.80,663,104206,6103935.00,
500139,FEDDERELEC  ,B ,Q,76.85,78.25,76.10,76.55,76.30,76.95,207,21014,1614744.00,
